team,season,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l
Atlanta Hawks,2019,108.1,113.9,-5.8,25.8,103.9,0.555,0.522,14.3,24.7,0.541,29.0,53.0
Boston Celtics,2019,112.2,107.8,4.4,26.3,99.6,0.567,0.534,11.5,21.6,0.514,49.0,33.0
Brooklyn Nets,2019,109.6,109.7,-0.1,23.8,100.8,0.556,0.52,13.0,23.8,0.512,42.0,40.0
Chicago Bulls,2019,104.8,113.2,-8.4,21.9,99.0,0.541,0.505,12.7,19.4,0.541,22.0,60.0
Charlotte Hornets,2019,111.4,112.5,-1.1,23.2,98.7,0.554,0.514,10.9,21.7,0.538,39.0,43.0
Cleveland Cavaliers,2019,107.7,117.6,-9.9,20.7,96.6,0.54,0.503,12.2,23.7,0.564,19.0,63.0
Dallas Mavericks,2019,109.4,110.7,-1.3,23.4,99.0,0.555,0.519,12.7,22.7,0.522,33.0,49.0
Denver Nuggets,2019,113.0,108.9,4.1,27.4,97.7,0.558,0.527,11.9,26.6,0.521,54.0,28.0
Detroit Pistons,2019,109.0,109.2,-0.2,22.5,97.4,0.544,0.509,12.3,24.8,0.526,41.0,41.0
Golden State Warriors,2019,115.9,109.5,6.4,29.4,100.9,0.596,0.565,12.6,22.5,0.508,57.0,25.0
Houston Rockets,2019,115.5,110.7,4.8,21.2,97.9,0.581,0.542,12.0,22.8,0.525,53.0,29.0
Indiana Pacers,2019,109.9,106.5,3.4,26.0,98.1,0.561,0.53,12.4,21.9,0.516,48.0,34.0
Los Angeles Clippers,2019,112.4,111.5,0.9,24.0,101.7,0.575,0.529,12.7,22.0,0.514,48.0,34.0
Los Angeles Lakers,2019,107.8,109.5,-1.7,25.6,103.2,0.554,0.527,13.4,22.2,0.516,37.0,45.0
Memphis Grizzlies,2019,106.1,108.8,-2.7,23.9,96.6,0.548,0.508,12.9,20.0,0.521,33.0,49.0
Miami Heat,2019,107.3,107.6,-0.3,24.3,98.2,0.542,0.515,13.1,24.8,0.51,39.0,43.0
Milwaukee Bucks,2019,113.8,105.2,8.6,26.0,103.3,0.583,0.55,12.0,20.8,0.503,60.0,22.0
Minnesota Timberwolves,2019,111.4,112.9,-1.5,24.6,100.2,0.552,0.511,11.4,24.6,0.538,36.0,46.0
New Orleans Pelicans,2019,111.4,112.6,-1.2,27.0,103.3,0.563,0.529,12.6,24.1,0.532,33.0,49.0
New York Knicks,2019,104.5,113.7,-9.2,20.1,99.6,0.529,0.49,12.4,22.1,0.533,17.0,65.0
Oklahoma City Thunder,2019,110.3,107.0,3.3,23.4,102.8,0.545,0.514,11.7,26.0,0.523,49.0,33.0
Orlando Magic,2019,108.9,108.1,0.8,25.5,98.1,0.55,0.518,11.9,22.0,0.515,42.0,40.0
Philadelphia 76ers,2019,112.6,110.0,2.6,26.9,101.6,0.574,0.532,12.9,24.5,0.512,51.0,31.0
Phoenix Suns,2019,105.9,115.1,-9.2,23.9,100.5,0.552,0.514,13.8,20.5,0.545,19.0,63.0
Portland Trail Blazers,2019,114.7,110.5,4.2,23.0,99.1,0.568,0.528,12.1,26.6,0.516,53.0,29.0
Sacramento Kings,2019,110.4,111.5,-1.1,25.4,103.1,0.554,0.524,11.5,23.1,0.533,39.0,43.0
San Antonio Spurs,2019,112.9,111.2,1.7,24.5,98.3,0.572,0.534,11.0,21.0,0.528,48.0,34.0
Toronto Raptors,2019,113.1,107.1,6.0,25.4,100.2,0.579,0.543,12.4,21.9,0.509,58.0,24.0
Utah Jazz,2019,110.9,105.7,5.2,26.0,100.3,0.572,0.538,13.4,22.9,0.507,50.0,32.0
Washington Wizards,2019,111.1,113.9,-2.8,26.3,101.4,0.567,0.531,12.3,21.3,0.546,32.0,50.0
Atlanta Hawks,2018,105.0,110.6,-5.6,23.7,98.3,0.547,0.512,14.1,21.1,0.536,24.0,58.0
Boston Celtics,2018,107.6,103.9,3.7,22.5,96.0,0.552,0.518,13.0,21.5,0.495,55.0,27.0
Brooklyn Nets,2018,106.9,110.6,-3.7,23.7,98.9,0.551,0.514,13.6,21.0,0.517,28.0,54.0
Chicago Bulls,2018,103.8,110.9,-7.1,23.5,98.3,0.529,0.497,12.6,20.6,0.542,27.0,55.0
Charlotte Hornets,2018,109.4,109.1,0.3,21.6,98.4,0.549,0.508,11.4,22.2,0.532,36.0,46.0
Cleveland Cavaliers,2018,112.9,111.9,1.0,23.4,98.0,0.584,0.547,12.6,20.1,0.54,50.0,32.0
Dallas Mavericks,2018,106.3,109.5,-3.2,22.7,95.6,0.544,0.513,11.6,18.0,0.532,24.0,58.0
Denver Nuggets,2018,112.5,111.0,1.5,25.1,96.8,0.57,0.536,13.4,25.7,0.539,46.0,36.0
Detroit Pistons,2018,107.2,107.3,-0.1,22.8,96.2,0.543,0.512,12.3,22.7,0.524,39.0,43.0
Golden State Warriors,2018,113.6,107.6,6.0,29.3,99.6,0.603,0.569,14.1,21.0,0.504,58.0,24.0
Houston Rockets,2018,114.7,106.1,8.6,21.5,97.6,0.59,0.551,12.7,21.3,0.521,65.0,17.0
Indiana Pacers,2018,109.5,108.1,1.4,22.2,96.0,0.557,0.525,12.3,22.7,0.527,48.0,34.0
Los Angeles Clippers,2018,110.3,110.2,0.1,22.3,98.7,0.564,0.527,13.2,23.5,0.52,42.0,40.0
