season,lg_x,team,abbreviation_x,playoffs_x,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g,lg_y,abbreviation_y,playoffs_y,g,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
1997,NBA,Boston Celtics,BOS,False,26.1,15.0,67.0,22.0,60.0,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,0.316,0.191,0.52,0.474,14.5,29.4,0.237,0.539,15.8,68.5,0.243,FleetCenter,664022.0,18624.0,NBA,BOS,False,82.0,242.7,37.4,85.0,0.44,5.7,16.2,0.351,31.7,68.7,0.461,20.1,26.8,0.75,13.4,26.7,40.0,21.9,9.9,3.8,16.4,23.4,100.6
1996,NBA,Atlanta Hawks,ATL,True,28.1,46.0,36.0,45.0,37.0,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.302,0.239,0.534,0.49,14.0,34.0,0.229,0.512,16.3,67.1,0.217,Omni Coliseum,496668.0,8297.0,NBA,ATL,True,82.0,240.6,36.4,81.3,0.448,6.9,19.5,0.355,29.5,61.8,0.477,18.6,24.5,0.757,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9,98.3
1996,NBA,Boston Celtics,BOS,False,26.3,33.0,49.0,32.0,50.0,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.329,0.209,0.534,0.494,14.1,28.8,0.235,0.511,14.3,70.0,0.258,FleetCenter,730842.0,17085.0,NBA,BOS,False,82.0,242.7,38.6,84.7,0.456,6.6,17.7,0.371,32.0,66.9,0.478,19.9,27.9,0.714,12.8,29.6,42.4,21.9,8.0,5.0,15.9,24.9,103.6
1996,NBA,Charlotte Hornets,CHH,False,27.8,41.0,41.0,39.0,43.0,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.558,0.514,14.1,29.5,0.246,0.529,13.9,70.3,0.217,Charlotte Coliseum,985722.0,24042.0,NBA,CHH,False,82.0,242.4,37.9,80.7,0.47,7.1,18.5,0.384,30.8,62.2,0.495,19.9,25.8,0.77,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8
1996,NBA,Houston Rockets,HOU,True,29.0,48.0,34.0,46.0,36.0,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,0.512,14.1,26.9,0.243,0.495,13.6,68.6,0.206,The Summit,667840.0,16611.0,NBA,HOU,True,82.0,241.5,37.5,81.0,0.464,7.8,21.5,0.362,29.8,59.5,0.501,19.6,25.7,0.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
1996,NBA,Los Angeles Lakers,LAL,True,27.1,53.0,29.0,53.0,29.0,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,0.515,13.3,30.1,0.228,0.491,14.9,66.8,0.205,Great Western Forum,649634.0,17505.0,NBA,LAL,True,82.0,240.0,39.2,81.8,0.48,5.8,16.6,0.351,33.4,65.2,0.512,18.6,25.0,0.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
1996,NBA,Orlando Magic,ORL,True,27.7,60.0,22.0,56.0,26.0,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,0.529,13.2,29.0,0.232,0.491,14.0,68.8,0.223,Orlando Arena,707168.0,17248.0,NBA,ORL,True,82.0,242.1,39.1,81.0,0.482,7.6,20.1,0.378,31.5,60.9,0.517,18.8,27.2,0.691,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8,104.5
1996,NBA,San Antonio Spurs,SAS,True,29.4,59.0,23.0,58.0,24.0,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,0.516,13.6,27.5,0.252,0.472,13.9,70.0,0.216,Alamodome,782701.0,18752.0,NBA,SAS,True,82.0,241.2,38.4,80.5,0.477,6.3,16.1,0.392,32.1,64.4,0.498,20.3,27.6,0.736,11.4,31.5,43.0,24.9,7.9,6.5,14.6,22.2,103.4
1996,NBA,Seattle SuperSonics,SEA,True,29.6,64.0,18.0,61.0,21.0,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,0.526,16.2,29.7,0.288,0.479,16.7,69.5,0.252,KeyArena at Seattle Center,697301.0,16646.0,NBA,SEA,True,82.0,242.4,37.5,78.1,0.48,7.1,19.5,0.364,30.4,58.6,0.519,22.5,29.6,0.76,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24.0,104.5
1996,NBA,Utah Jazz,UTA,True,29.5,55.0,27.0,59.0,23.0,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,0.517,14.1,31.6,0.276,0.489,15.1,71.7,0.295,Delta Center,813073.0,19911.0,NBA,UTA,True,82.0,241.2,38.2,78.3,0.488,4.6,12.4,0.372,33.6,65.9,0.509,21.6,28.1,0.768,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0,102.5
1996,NBA,Vancouver Grizzlies,VAN,False,27.2,15.0,67.0,15.0,67.0,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,0.308,0.174,0.5,0.456,15.5,27.3,0.223,0.51,16.1,66.3,0.241,General Motors Place,654013.0,19193.0,NBA,VAN,False,82.0,242.4,33.8,79.1,0.428,4.5,13.8,0.329,29.3,65.3,0.448,17.6,24.4,0.724,11.7,26.5,38.1,20.8,8.9,4.1,16.4,22.6,89.8
1995,NBA,Atlanta Hawks,ATL,True,28.2,42.0,40.0,45.0,37.0,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,Omni Coliseum,504807.0,10291.0,NBA,ATL,True,82.0,242.1,36.4,81.5,0.447,6.6,19.3,0.341,29.8,62.2,0.48,17.2,23.8,0.724,13.5,27.7,41.2,21.4,9.0,5.0,14.9,22.0,96.6
1995,NBA,Boston Celtics,BOS,True,27.2,35.0,47.0,36.0,46.0,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,0.491,14.3,33.1,0.249,0.512,13.6,68.6,0.235,Boston Garden,606070.0,14890.0,NBA,BOS,True,82.0,241.5,38.8,83.5,0.464,4.4,12.0,0.368,34.4,71.5,0.48,20.8,27.7,0.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8
1995,NBA,Charlotte Hornets,CHH,True,28.0,50.0,32.0,50.0,32.0,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,0.517,14.3,26.0,0.247,0.485,13.8,68.5,0.202,Charlotte Coliseum,971618.0,23698.0,NBA,CHH,True,82.0,241.5,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6
1995,NBA,Cleveland Cavaliers,CLE,True,28.3,43.0,39.0,43.0,39.0,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,0.472,14.2,31.8,0.241,0.493,15.0,72.4,0.224,Gund Arena,833850.0,20562.0,NBA,CLE,True,82.0,243.0,33.6,76.3,0.441,4.9,12.6,0.385,28.8,63.7,0.452,18.4,24.2,0.76,12.7,27.3,40.0,20.4,7.7,4.3,14.3,20.7,90.5
1995,NBA,Dallas Mavericks,DAL,False,24.3,36.0,46.0,33.0,49.0,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.519,13.7,69.8,0.208,Reunion Arena,678433.0,17502.0,NBA,DAL,False,82.0,243.0,39.4,89.5,0.44,4.7,14.6,0.322,34.6,74.9,0.463,19.8,27.0,0.734,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2
1995,NBA,Detroit Pistons,DET,False,26.9,28.0,54.0,22.0,60.0,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.538,0.499,15.0,28.3,0.217,0.51,14.2,65.8,0.299,The Palace of Auburn Hills,719090.0,21454.0,NBA,DET,False,82.0,240.6,37.3,80.9,0.461,6.0,17.0,0.354,31.3,63.9,0.49,17.5,23.7,0.741,11.7,26.9,38.6,22.8,8.6,5.1,16.1,26.2,98.2
1995,NBA,Houston Rockets,HOU,True,28.5,47.0,35.0,47.0,35.0,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,0.529,15.0,26.9,0.232,0.489,13.9,67.7,0.199,The Summit,653389.0,16503.0,NBA,HOU,True,82.0,240.6,38.5,80.2,0.48,7.9,21.4,0.368,30.6,58.8,0.521,18.6,24.9,0.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5
