,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l,team,season,Champion
0,117.2,119.4,-2.2,26.6,100.1,0.576,0.539,11.6,27.1,0.572,36.0,46.0,Atlanta Hawks,2024,0
1,123.2,111.6,11.6,26.9,97.2,0.609,0.578,10.8,24.9,0.523,64.0,18.0,Boston Celtics,2024,1
2,113.2,116.1,-2.9,25.6,96.9,0.561,0.531,11.8,25.2,0.543,32.0,50.0,Brooklyn Nets,2024,0
3,114.9,116.3,-1.4,25.0,96.3,0.568,0.534,11.0,25.1,0.556,39.0,43.0,Chicago Bulls,2024,0
4,109.3,119.8,-10.5,24.8,97.3,0.56,0.529,12.6,21.1,0.572,21.0,61.0,Charlotte Hornets,2024,0
5,115.2,112.7,2.5,28.0,97.2,0.586,0.557,12.4,23.2,0.535,48.0,34.0,Cleveland Cavaliers,2024,0
6,117.6,115.4,2.2,25.7,100.1,0.592,0.562,11.2,22.2,0.548,50.0,32.0,Dallas Mavericks,2024,0
7,118.5,113.0,5.5,29.5,96.8,0.589,0.562,11.5,25.5,0.526,57.0,25.0,Denver Nuggets,2024,0
8,109.7,118.8,-9.1,25.5,99.8,0.562,0.526,13.5,23.9,0.558,14.0,68.0,Detroit Pistons,2024,0
9,117.8,115.2,2.6,29.3,99.2,0.586,0.557,12.5,27.5,0.539,46.0,36.0,Golden State Warriors,2024,0
10,114.5,113.4,1.1,24.8,99.0,0.565,0.529,11.2,25.1,0.533,41.0,41.0,Houston Rockets,2024,0
11,121.0,118.0,3.0,30.8,101.7,0.606,0.578,11.3,23.8,0.556,47.0,35.0,Indiana Pacers,2024,0
12,118.8,115.4,3.4,25.6,97.2,0.599,0.561,12.0,24.4,0.541,51.0,31.0,Los Angeles Clippers,2024,0
13,115.9,115.3,0.6,28.5,100.9,0.601,0.566,12.5,19.9,0.55,47.0,35.0,Los Angeles Lakers,2024,0
14,107.2,114.3,-7.1,24.7,98.2,0.543,0.509,13.4,23.8,0.551,27.0,55.0,Memphis Grizzlies,2024,0
15,114.0,112.2,1.8,25.8,96.2,0.578,0.538,11.7,21.8,0.543,46.0,36.0,Miami Heat,2024,0
16,118.4,115.8,2.6,26.5,99.9,0.601,0.568,11.5,21.8,0.539,49.0,33.0,Milwaukee Bucks,2024,0
17,115.6,109.0,6.6,26.6,97.1,0.594,0.559,13.0,23.2,0.515,56.0,26.0,Minnesota Timberwolves,2024,0
18,117.4,112.9,4.5,27.0,97.9,0.591,0.558,11.8,24.4,0.541,49.0,33.0,New Orleans Pelicans,2024,0
19,118.2,113.4,4.8,24.4,95.2,0.574,0.54,11.9,29.4,0.543,50.0,32.0,New York Knicks,2024,0
20,119.5,112.1,7.4,27.1,99.8,0.608,0.573,11.4,21.1,0.53,57.0,25.0,Oklahoma City Thunder,2024,0
21,113.4,111.3,2.1,24.7,96.9,0.577,0.541,13.3,25.3,0.543,47.0,35.0,Orlando Magic,2024,0
22,116.9,113.8,3.1,24.9,97.5,0.574,0.532,10.7,24.8,0.537,47.0,35.0,Philadelphia 76ers,2024,0
23,117.6,114.6,3.0,27.0,98.3,0.603,0.565,13.4,25.0,0.536,49.0,33.0,Phoenix Suns,2024,0
24,108.3,117.5,-9.2,23.1,97.2,0.539,0.503,13.4,27.5,0.558,21.0,61.0,Portland Trail Blazers,2024,0
25,116.9,115.2,1.7,28.3,98.8,0.582,0.556,11.6,24.5,0.555,46.0,36.0,Sacramento Kings,2024,0
26,110.0,116.4,-6.4,29.9,101.1,0.563,0.532,13.2,22.9,0.555,22.0,60.0,San Antonio Spurs,2024,0
27,112.3,118.8,-6.5,28.5,99.4,0.566,0.535,12.4,24.2,0.566,25.0,57.0,Toronto Raptors,2024,0
28,115.5,120.4,-4.9,27.2,99.5,0.579,0.539,13.6,28.1,0.567,31.0,51.0,Utah Jazz,2024,0
29,110.5,119.6,-9.1,27.9,102.7,0.567,0.538,12.2,20.0,0.562,15.0,67.0,Washington Wizards,2024,0
30,116.6,116.3,0.3,25.0,100.7,0.579,0.541,11.2,25.1,0.552,41.0,41.0,Atlanta Hawks,2023,0
31,118.0,111.5,6.5,26.7,98.5,0.6,0.566,12.0,22.1,0.528,57.0,25.0,Boston Celtics,2023,0
32,115.0,114.1,0.9,25.5,98.3,0.598,0.562,12.7,19.6,0.53,45.0,37.0,Brooklyn Nets,2023,0
33,113.5,112.2,1.3,24.5,98.5,0.587,0.55,12.2,20.1,0.544,40.0,42.0,Chicago Bulls,2023,0
34,109.2,115.3,-6.1,25.1,100.8,0.55,0.516,12.3,23.8,0.544,27.0,55.0,Charlotte Hornets,2023,0
35,116.1,110.6,5.5,24.9,95.7,0.59,0.556,12.3,23.6,0.535,51.0,31.0,Cleveland Cavaliers,2023,0
36,116.8,116.7,0.1,22.9,96.6,0.599,0.565,11.4,18.0,0.549,38.0,44.0,Dallas Mavericks,2023,0
